37,3,3,3,2,2,7,13,13,13,,,,,,,,,,,
39,6,3,3,10,3,1,3,7,6,,,,,,,,,,,
41,3,3,9,5,3,3,3,6,3,3,3,10,,,,,,,,
43,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
45,14,1,4,6,5,5,13,13,1,13,8,13,10,,,,,,,
47,13,3,10,3,10,,,,,,,,,,,,,,,
49,14,14,4,5,4,12,5,5,5,5,2,,,,,,,,,
51,5,5,0,12,5,13,12,10,5,4,,,,,,,,,,
53,14,3,3,3,14,1,0,4,4,4,14,14,14,14,14,3,,,,
57,14,4,4,4,4,4,4,14,4,9,4,4,9,4,4,,,,,
61,14,4,11,4,9,9,4,11,4,14,9,11,11,4,14,4,14,14,14,14
63,14,14,11,11,11,11,11,11,11,11,11,,,,,,,,,
65,11,11,11,11,11,11,11,11,11,1,1,1,,,,,,,,
67,1,13,11,1,14,11,1,11,9,11,6,4,9,6,,,,,,
69,4,6,9,11,11,14,14,4,14,14,,,,,,,,,,
73,3,0,0,3,0,0,12,4,,,,,,,,,,,,
75,12,12,4,4,12,1,12,12,2,1,12,12,,,,,,,,
77,12,12,4,4,4,12,12,10,9,9,9,10,12,10,6,,,,,
79,14,9,9,4,9,10,4,9,9,9,9,,,,,,,,,
81,9,9,4,13,13,13,9,1,4,9,6,9,9,,,,,,,
83,12,10,9,9,9,9,9,9,4,4,9,4,10,,,,,,,
85,9,10,9,10,9,9,9,9,9,9,9,9,9,,,,,,,
87,10,10,9,9,9,9,9,9,9,9,3,,,,,,,,,
89,9,11,9,9,9,9,9,4,6,,,,,,,,,,,
91,10,10,10,4,4,4,9,9,9,9,4,,,,,,,,,
93,11,4,4,9,6,9,9,9,4,10,10,,,,,,,,,
95,13,9,9,9,9,2,12,,,,,,,,,,,,,
97,12,12,12,9,9,9,9,9,9,9,9,,,,,,,,,
99,11,9,9,9,9,9,9,9,12,12,6,,,,,,,,,
101,6,0,0,0,0,0,0,0,0,0,6,,,,,,,,,
135,3,3,8,8,8,8,8,0,8,8,5,8,8,8,8,8,8,3,,
137,8,8,8,9,8,4,4,4,4,2,8,2,,,,,,,,
139,8,8,8,8,7,8,8,9,8,8,8,8,2,2,,,,,,
141,8,8,8,8,8,8,8,8,10,8,8,8,8,9,1,6,,,,
143,8,10,8,8,5,8,8,8,8,7,8,8,8,8,8,,,,,
145,3,3,3,3,10,10,3,3,3,3,3,11,,,,,,,,
147,3,3,5,5,5,0,12,,,,,,,,,,,,,
149,12,0,0,10,0,12,9,12,0,0,0,12,12,12,12,2,2,12,,
151,3,4,10,10,4,4,4,4,10,13,10,10,10,4,10,,,,,
153,12,12,12,12,12,0,12,12,12,0,0,12,10,10,12,12,12,12,3,3
155,3,3,5,14,10,10,8,8,3,12,4,5,1,4,3,3,3,7,2,
